HashArrayLine;0,24528;10
HashArrayDouble;0,04054;10
HashArraySquare;0,03576;10
HashSet;0,0098;10
HashArrayLine;0,15894;20
HashArrayDouble;0,06184;20
HashArraySquare;0,0484;20
HashSet;0,01106;20
HashArrayLine;0,1708;40
HashArrayDouble;0,12114;40
HashArraySquare;0,11542;40
HashSet;0,03518;40
HashArrayLine;0,09388;80
HashArrayDouble;0,06092;80
HashArraySquare;0,06726;80
HashSet;0,0272;80
HashArrayLine;0,1124;160
HashArrayDouble;0,14152;160
HashArraySquare;0,1075;160
HashSet;0,07454;160
HashArrayLine;0,3868;320
HashArrayDouble;0,42286;320
HashArraySquare;0,24598;320
HashSet;0,08338;320
HashArrayLine;0,3631;640
HashArrayDouble;0,3457;640
HashArraySquare;0,28104;640
HashSet;0,2295;640
HashArrayLine;0,98346;1280
HashArrayDouble;0,9515;1280
HashArraySquare;0,82314;1280
HashSet;0,82984;1280
HashArrayLine;3,55916;2560
HashArrayDouble;2,66756;2560
HashArraySquare;2,6935;2560
HashSet;3,00272;2560
HashArrayLine;10,48586;5120
HashArrayDouble;10,17262;5120
HashArraySquare;9,5236;5120
HashSet;10,14204;5120
HashArrayLine;45,4273;10240
HashArrayDouble;37,98162;10240
HashArraySquare;37,47192;10240
HashSet;37,75858;10240
HashArrayLine;147,51194;20480
HashArrayDouble;149,83668;20480
HashArraySquare;142,96538;20480
HashSet;158,27406;20480
HashArrayLine;588,76208;40960
HashArrayDouble;570,49646;40960
HashArraySquare;571,3582;40960
HashSet;670,71086;40960
HashArrayLine;2283,55582;81920
HashArrayDouble;2263,50666;81920
HashArraySquare;2391,60094;81920
HashSet;2502,63808;81920
