HashArrayLine;0,33536;10
HashArrayDouble;0,06442;10
HashArraySquare;0,04814;10
HashSet;0,74878;10
HashArrayLine;0,1431;20
HashArrayDouble;0,06504;20
HashArraySquare;0,0453;20
HashSet;0,15254;20
HashArrayLine;0,18986;40
HashArrayDouble;0,20944;40
HashArraySquare;0,16938;40
HashSet;0,16272;40
HashArrayLine;0,14936;80
HashArrayDouble;0,06776;80
HashArraySquare;0,0763;80
HashSet;0,29906;80
HashArrayLine;0,20782;160
HashArrayDouble;0,13672;160
HashArraySquare;0,0878;160
HashSet;0,40642;160
HashArrayLine;0,50966;320
HashArrayDouble;0,2332;320
HashArraySquare;0,51184;320
HashSet;0,6016;320
HashArrayLine;1,57518;640
HashArrayDouble;0,36384;640
HashArraySquare;0,35162;640
HashSet;0,51952;640
HashArrayLine;1,14326;1280
HashArrayDouble;0,98802;1280
HashArraySquare;0,8911;1280
HashSet;1,65244;1280
HashArrayLine;3,23402;2560
HashArrayDouble;2,86504;2560
HashArraySquare;2,97722;2560
HashSet;6,04106;2560
HashArrayLine;10,67716;5120
HashArrayDouble;11,02444;5120
HashArraySquare;10,49454;5120
HashSet;26,1994;5120
HashArrayLine;41,98154;10240
HashArrayDouble;42,39196;10240
HashArraySquare;41,33716;10240
HashSet;77,91618;10240
HashArrayLine;169,37066;20480
HashArrayDouble;160,19042;20480
HashArraySquare;157,43872;20480
HashSet;280,0461;20480
HashArrayLine;642,49028;40960
HashArrayDouble;568,97624;40960
HashArraySquare;574,80762;40960
HashSet;1254,51694;40960
HashArrayLine;2249,7953;81920
HashArrayDouble;2217,81796;81920
HashArraySquare;2208,22924;81920
HashSet;18739,98694;81920
