BranchAndBound;0,18518;46;3
BranchAndBound;0,10892;50;4
BranchAndBound;0,2177;69;5
BranchAndBound;0,34862;48;6
BranchAndBound;0,6675;50;7
BranchAndBound;1,1182;33;8
BranchAndBound;3,5115;51;9
BranchAndBound;2,66422;47;10
BranchAndBound;4,17568;36;11
BranchAndBound;16,8406;63;12
BranchAndBound;17,03278;44;13
BranchAndBound;139,06836;54;14
BranchAndBound;192,57374;59;15
BranchAndBound;1939,49062;51;16
BranchAndBound;2460,42802;49;17
BranchAndBound;15253,44296;56;18
BranchAndBound;36903,79434;61;19
BranchAndBound;91925,11886;58;20
