Dijkstra;1,188;4815
BellmanFord;3,03838;1970
Dijkstra;1,28808;1970
BellmanFord;3,06972;2736
Dijkstra;1,2337;2736
BellmanFord;3,09872;3551
Dijkstra;1,24398;3551
BellmanFord;3,18626;2674
Dijkstra;1,29968;2674
BellmanFord;3,52564;1339
Dijkstra;1,27966;1339
BellmanFord;2,90088;3815
Dijkstra;1,27618;3815
BellmanFord;3,4349;4820
Dijkstra;1,3051;4820
BellmanFord;3,1041;3185
Dijkstra;1,21492;3185
BellmanFord;2,95482;3173
Dijkstra;1,24096;3173
BellmanFord;3,34134;1494
Dijkstra;1,20718;1494
BellmanFord;3,36534;4144
Dijkstra;1,25636;4144
BellmanFord;3,63058;2779
Dijkstra;1,2865;2779
BellmanFord;3,12356;4474
Dijkstra;1,2515;4474
BellmanFord;3,26558;3051
Dijkstra;1,23308;3051
BellmanFord;3,0294;4992
Dijkstra;1,31652;4992
BellmanFord;3,51116;1282
Dijkstra;1,26804;1282
BellmanFord;2,95932;2154
Dijkstra;1,24834;2154
BellmanFord;3,37568;4960
Dijkstra;1,28964;4960
BellmanFord;2,70948;5261
Dijkstra;1,1961;5261
BellmanFord;2,78772;4134
Dijkstra;1,19718;4134
BellmanFord;2,72826;4324
Dijkstra;1,26802;4324
BellmanFord;3,52638;4099
Dijkstra;1,20328;4099
BellmanFord;2,7866;4386
Dijkstra;1,24558;4386
BellmanFord;3,05512;1994
Dijkstra;1,3079;1994
BellmanFord;3,14072;5077
Dijkstra;1,29576;5077
BellmanFord;3,25792;2858
Dijkstra;1,26188;2858
BellmanFord;3,23534;3135
Dijkstra;1,24112;3135
BellmanFord;3,3741;2766
Dijkstra;1,26994;2766
BellmanFord;3,59752;3917
Dijkstra;1,28016;3917
BellmanFord;3,60042;3145
Dijkstra;1,24564;3145
BellmanFord;3,14136;3579
Dijkstra;1,62244;3579
BellmanFord;4,9753;3889
Dijkstra;1,28032;3889
BellmanFord;3,41574;3675
Dijkstra;1,26052;3675
BellmanFord;2,9792;4886
Dijkstra;1,20996;4886
BellmanFord;3,6935;4007
Dijkstra;1,32428;4007
BellmanFord;3,2121;3812
Dijkstra;1,2236;3812
BellmanFord;3,02688;3466
